run_index,hand,request_id,request_ts,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_mid_yaw,palm_mid_pitch,palm_mid_roll,palm_mid_ax,palm_mid_ay,palm_mid_az,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_mid_yaw,thumb_mid_pitch,thumb_mid_roll,thumb_mid_ax,thumb_mid_ay,thumb_mid_az,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_mid_yaw,index_mid_pitch,index_mid_roll,index_mid_ax,index_mid_ay,index_mid_az,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_mid_yaw,middle_mid_pitch,middle_mid_roll,middle_mid_ax,middle_mid_ay,middle_mid_az,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_mid_yaw,ring_mid_pitch,ring_mid_roll,ring_mid_ax,ring_mid_ay,ring_mid_az,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_mid_yaw,pinky_mid_pitch,pinky_mid_roll,pinky_mid_ax,pinky_mid_ay,pinky_mid_az,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az,wrist_ax,wrist_ay,wrist_az,wrist_heading,wrist_pitch,wrist_roll
1,LeftGlove,21,2026-04-17T09:43:11.684,196079,7398,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2101,1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1032,2120,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,29,2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148,2284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989,2024,0.0,0.0,0,0.0,0.0,0.0,-3.1,-3.13,-3.14,-1.05,0.82,-1.04,-0.4,2.95,9.29,356.25,-2.38,-17.88
1,LeftGlove,22,2026-04-17T09:43:11.882,196192,7640,-1,-1,0,0,0,0,0,0,0.02,0.0,0.0,0.0,0.0,0.0,2100,1851,-0.02,0.0,0.0,0.0,0.0,0.0,-0.01,0,0,0.0,0.0,-0.01,1037,2119,0.02,-0.01,0,-0.01,-0.01,0.01,0.01,-0.01,0,0.0,-0.01,0.01,31,2070,-0.01,-0.02,0.0,0.0,0.0,0.0,-0.04,-0.02,0.0,0.0,-0.01,0.01,2150,2283,0.02,-0.01,-0.01,0.0,0.0,0.01,0.01,-0.01,0.0,0.0,0.0,0.01,1993,2024,-0.01,-0.01,0,0.0,0.0,0.0,-3.11,-3.13,-3.14,-1.03,0.84,-1.01,-0.42,2.94,9.34,356.25,-2.38,-17.88
1,LeftGlove,23,2026-04-17T09:43:12.205,196511,8007,-1,-1,0,0,0,0,0,0,0.02,0.0,0.0,0.0,0.0,0.0,2102,1851,-0.02,0.0,0.0,0.0,0.0,0.0,-0.01,0,0,0.0,0.0,0.0,1035,2121,0.0,0.0,0,0.0,0.0,0.0,0.01,-0.01,0,0.0,0.0,0.0,31,2069,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,2.87,2.39,1.47,-0.17,-1.92,2151,2283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991,2025,-0.01,-0.01,0,0.0,0.0,0.01,-3.11,-3.13,-3.14,-1.04,0.81,-1.03,-0.4,2.93,9.25,356.25,-2.38,-17.88
1,LeftGlove,24,2026-04-17T09:43:12.670,197103,8392,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2095,1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1021,2119,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,29,2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149,2282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,2023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,2.89,9.32,356.25,-2.38,-17.88
1,LeftGlove,25,2026-04-17T09:43:13.112,197528,8816,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2101,1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1023,2118,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,27,2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2151,2283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,2025,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,2.94,9.27,356.25,-2.38,-17.88
1,LeftGlove,26,2026-04-17T09:43:13.520,197923,9214,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2095,1853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1032,2120,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,35,2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149,2283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984,2021,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,2.93,9.28,356.25,-2.38,-17.88
1,LeftGlove,27,2026-04-17T09:43:13.931,198332,9619,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2095,1852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1031,2120,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,26,2068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149,2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,2023,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,2.93,9.3,356.25,-2.38,-17.88
1,LeftGlove,28,2026-04-17T09:43:14.348,198748,10035,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2099,1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1033,2119,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,29,2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149,2283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979,2026,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,2.93,9.28,356.25,-2.38,-17.88
1,LeftGlove,29,2026-04-17T09:43:14.545,198947,10416,-1,-1,0,0,0,0,0,0,0.02,0.0,0.0,0.0,0.0,0.0,2100,1853,-0.02,0.0,0.0,0.0,0.0,-0.01,-0.01,0,0,0.0,0.0,0.0,1036,2121,0.02,-0.01,0,0.0,0.0,0.0,0.01,-0.01,0,0.0,0.0,0.0,29,2059,-0.01,-0.02,0.0,0.0,0.0,0.0,-0.04,-0.02,0.0,0.0,0.0,0.0,2149,2281,0.02,-0.01,-0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1983,2027,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,2.97,9.32,356.25,-2.38,-17.88
1,LeftGlove,30,2026-04-17T09:43:15.042,199561,10851,-1,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2099,1852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1031,2119,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,28,2069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2148,2282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988,2025,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,2.95,9.29,356.25,-2.38,-17.88
