Timestamp,Data
2025-10-22 11:27:11.752,Sensor 1 (0x1C) - X: -1.003 Y: 0.118 Z: -0.055 | Orientation: Landscape Left
2025-10-22 11:27:11.804,Sensor 2 (0x1D) - X: 0.227 Y: 0.330 Z: -0.948 | Orientation: Flat
2025-10-22 11:27:12.340,Sensor 1 (0x1C) - X: -0.294 Y: 0.387 Z: 0.857 | Orientation: Landscape Left
2025-10-22 11:27:12.402,Sensor 2 (0x1D) - X: -0.858 Y: 0.523 Z: 0.069 | Orientation: Portrait Down
2025-10-22 11:27:12.938,Sensor 1 (0x1C) - X: 0.085 Y: 0.318 Z: 0.982 | Orientation: Flat
2025-10-22 11:27:12.989,Sensor 2 (0x1D) - X: -0.809 Y: 0.147 Z: 0.557 | Orientation: Landscape Left
2025-10-22 11:27:13.526,Sensor 1 (0x1C) - X: 0.098 Y: 0.307 Z: 0.945 | Orientation: Flat
2025-10-22 11:27:13.577,Sensor 2 (0x1D) - X: -0.765 Y: 0.061 Z: 0.557 | Orientation: Landscape Left
2025-10-22 11:27:14.114,Sensor 1 (0x1C) - X: 0.125 Y: 0.331 Z: 0.926 | Orientation: Flat
2025-10-22 11:27:14.164,Sensor 2 (0x1D) - X: -0.743 Y: 0.087 Z: 0.742 | Orientation: Landscape Left
2025-10-22 11:27:14.701,Sensor 1 (0x1C) - X: -0.073 Y: 0.250 Z: 0.822 | Orientation: Flat
2025-10-22 11:27:14.741,Sensor 2 (0x1D) - X: 0.005 Y: 0.074 Z: 0.926 | Orientation: Flat
2025-10-22 11:27:15.278,Sensor 1 (0x1C) - X: -0.016 Y: 0.255 Z: 0.854 | Orientation: Flat
2025-10-22 11:27:15.319,Sensor 2 (0x1D) - X: -0.708 Y: 0.380 Z: 0.551 | Orientation: Flat
2025-10-22 11:27:15.856,Sensor 1 (0x1C) - X: -0.147 Y: 0.227 Z: 1.023 | Orientation: Flat
2025-10-22 11:27:15.908,Sensor 2 (0x1D) - X: -0.117 Y: 0.320 Z: 0.706 | Orientation: Landscape Left
2025-10-22 11:27:16.445,Sensor 1 (0x1C) - X: 0.012 Y: 0.313 Z: 1.003 | Orientation: Flat
2025-10-22 11:27:16.496,Sensor 2 (0x1D) - X: -0.568 Y: 0.317 Z: 0.934 | Orientation: Landscape Left
2025-10-22 11:27:17.032,Sensor 1 (0x1C) - X: 0.306 Y: 0.836 Z: 0.341 | Orientation: Portrait Down
