Time,filt_S1_X,filt_S1_Y,filt_S1_Z,filt_S1_p,filt_S1_r,filt_S2_X,filt_S2_Y,filt_S2_Z,filt_S2_p,filt_S2_r,,,,S1_X,S1_Y,S1_Z,S1_p,S1_r,S2_X,S2_Y,S2_Z,S2_p,S2_r
21.14,0.021889513,0.010482484,0.004934008,1.271750491,0.672549514,0.015578636,0.009408336,0.004197142,0.926142346,0.570022887,,,,0,-0.02,1,0.22,-0.9,-0.31,0.08,0.91,-18.21,5.26
21.156,0.021137452,0.010882912,0.005338052,1.221778336,0.703414777,0.014766392,0.010002679,0.004570019,0.880274216,0.609553933,,,,0,-0.02,1.01,-0.11,-1,-0.32,0.07,0.93,-18.56,4.55
21.172,0.020375438,0.011046653,0.005605424,1.171032642,0.71807165,0.013998691,0.010335562,0.005060445,0.836582977,0.630973371,,,,-0.01,-0.03,1.02,-0.34,-1.65,-0.33,0.07,0.95,-19.04,4.34
21.188,0.019609362,0.010946537,0.005713025,1.119982363,0.714781798,0.01328138,0.010371548,0.005619373,0.795092698,0.632311353,,,,0,-0.02,1.02,-0.22,-1.1,-0.32,0.08,0.94,-18.68,4.62
21.204,0.018850401,0.010583952,0.005652131,1.069385518,0.693577379,0.012618024,0.010108077,0.006197491,0.755794635,0.613658807,,,,-0.01,-0.03,1.02,-0.78,-1.54,-0.32,0.07,0.95,-18.92,4.14
21.22,0.018113424,0.009985963,0.005429656,1.02019491,0.656085626,0.012009801,0.009572196,0.006750093,0.718652664,0.576937649,,,,-0.01,-0.02,1.03,-0.45,-1.2,-0.33,0.08,0.94,-19.51,4.99
21.236,0.01741486,0.009200461,0.005067998,0.97343928,0.605238274,0.011455453,0.008815213,0.007240928,0.683598332,0.525553136,,,,-0.01,-0.03,1,-0.34,-1.45,-0.32,0.08,0.92,-18.45,4.99
21.252,0.016770358,0.00828996,0.004603299,0.930097729,0.544901657,0.010951356,0.007905795,0.007644597,0.650524764,0.463964144,,,,-0.01,-0.03,1.01,-0.78,-1.55,-0.33,0.07,0.95,-19.27,4.34
21.268,0.016192596,0.00732472,0.004082224,0.890984826,0.479465598,0.010491841,0.006922164,0.00794738,0.619288069,0.397207848,,,,-0.01,-0.04,1.03,-0.78,-1.96,-0.33,0.06,0.95,-19.51,3.88
21.284,0.015689563,0.006375916,0.003557534,0.856662009,0.413430318,0.010069827,0.005944135,0.00814652,0.589722647,0.330419552,,,,-0.02,-0.04,1.02,-0.9,-2.08,-0.33,0.06,0.94,-19.16,3.67
21.3,0.015263583,0.005509516,0.003082802,0.827387611,0.351028715,0.009677792,0.005045829,0.008248154,0.561672889,0.268391313,,,,-0.02,-0.03,1.02,-0.9,-1.87,-0.33,0.06,0.95,-19.39,3.88
21.316,0.014911204,0.004781338,0.002706787,0.803111386,0.295914314,0.009308986,0.004289741,0.008264234,0.535037043,0.215208017,,,,0,-0.03,0.99,-0.22,-1.91,-0.31,0.07,0.91,-17.97,4.41
21.332,0.014623932,0.004233519,0.002468139,0.783510279,0.250933374,0.008958615,0.003722623,0.008209074,0.509810661,0.173985288,,,,0,-0.03,0.98,-0.22,-1.59,-0.31,0.07,0.91,-18.33,4.29
21.349,0.014389541,0.003892373,0.002391274,0.768053649,0.217986207,0.008624694,0.003373239,0.008096227,0.486112863,0.14671592,,,,-0.01,-0.03,1.01,-0.67,-1.66,-0.33,0.07,0.95,-19.27,4.01
21.365,0.014193661,0.003767501,0.00248411,0.756082698,0.197972202,0.008308313,0.003251824,0.00793628,0.46418461,0.134217938,,,,-0.01,-0.03,1.03,-0.78,-1.84,-0.34,0.07,0.96,-20.11,4.18
21.381,0.014021315,0.003852007,0.00273786,0.746891391,0.19080783,0.00801333,0.003350923,0.007735685,0.444361947,0.136170665,,,,-0.02,-0.04,1.02,-0.9,-2.08,-0.33,0.07,0.95,-19.39,4.49
21.396,0.013858294,0.004123709,0.003128602,0.739800559,0.195506441,0.007745685,0.003647294,0.007496437,0.427038027,0.151223401,,,,0,-0.03,1.01,-0.11,-1.44,-0.32,0.07,0.92,-18.68,4.24
21.413,0.013692276,0.004547318,0.003620083,0.734218725,0.210310031,0.007512566,0.004104618,0.007216324,0.412626499,0.177161984,,,,-0.01,-0.04,1,-0.34,-2.13,-0.32,0.06,0.92,-18.56,3.75
21.429,0.013513646,0.005077501,0.004167253,0.729682491,0.232864208,0.007321534,0.004676853,0.006889694,0.401529001,0.211120849,,,,0,-0.03,1.02,-0.22,-1.87,-0.32,0.07,0.94,-18.92,4.29
21.445,0.013315941,0.005662726,0.004720184,0.725870555,0.260427683,0.007179612,0.005312076,0.006508762,0.394102317,0.249830443,,,,-0.02,-0.04,1.03,-1.12,-2.5,-0.34,0.06,0.96,-19.99,3.37
21.461,0.013095884,0.006249644,0.005228056,0.722590805,0.290106075,0.007092352,0.005956681,0.006065359,0.390622073,0.289888867,,,,-0.01,-0.03,1.02,-0.78,-1.76,-0.33,0.07,0.94,-19.04,4.53
21.477,0.012853065,0.006787622,0.005642932,0.719746352,0.319094907,0.00706298,0.006559648,0.005552831,0.39124442,0.328040489,,,,0,-0.02,1,0,-1.11,-0.32,0.08,0.93,-18.68,4.82
21.493,0.012589354,0.007232955,0.005923184,0.717288939,0.344908805,0.007091688,0.007076489,0.0049678,0.395967374,0.361435312,,,,-0.01,-0.01,1,-0.34,-0.67,-0.31,0.09,0.92,-18.21,5.47
21.509,0.012308153,0.007552202,0.006036547,0.715166785,0.36556862,0.007175067,0.007472427,0.004311673,0.404589985,0.387837715,,,,-0.01,-0.03,1.01,-0.45,-1.55,-0.32,0.07,0.93,-18.68,4.55
21.525,0.012013589,0.007724249,0.005962849,0.713273224,0.379722699,0.007305628,0.00772442,0.00359187,0.416668243,0.40575873,,,,-0.02,-0.04,1.03,-1.23,-2.5,-0.34,0.06,0.96,-19.99,3.72
21.541,0.011709788,0.00774097,0.005696241,0.711404904,0.386693542,0.007471477,0.007821931,0.00282265,0.431475139,0.414502265,,,,-0.01,-0.03,1.03,-0.56,-1.75,-0.33,0.07,0.94,-19.39,4.14
21.557,0.011400372,0.007606652,0.005246514,0.709239869,0.386457551,0.007656334,0.00776656,0.00202531,0.447982164,0.414133732,,,,0,-0.03,1.01,-0.22,-1.44,-0.32,0.08,0.92,-18.8,4.83
21.573,0.011088221,0.007336512,0.004639067,0.706342146,0.379573467,0.007840139,0.007570805,0.001227508,0.464880559,0.405388959,,,,-0.01,-0.02,1.02,-0.45,-1.32,-0.33,0.07,0.94,-19.04,4.54
21.589,0.010775447,0.006954583,0.00391325,0.702191803,0.367073896,0.008000342,0.007256155,0.00046168,0.480650903,0.389541189,,,,-0.01,-0.04,1.02,-0.45,-1.98,-0.32,0.07,0.94,-18.92,4.04
21.605,0.01046347,0.006491227,0.00311914,0.696233037,0.350331532,0.008113769,0.006850706,-0.000237306,0.493676165,0.368241256,,,,-0.01,-0.03,1.01,-0.34,-1.78,-0.32,0.07,0.92,-18.56,4.48
21.621,0.010153144,0.005980481,0.002313051,0.687930719,0.330912106,0.008158824,0.006386469,-0.000834992,0.502383435,0.343345484,,,,-0.01,-0.04,1.01,-0.45,-2.1,-0.32,0.07,0.94,-18.92,4.03
21.637,0.009844892,0.005457446,0.001552303,0.676826343,0.310427482,0.008117693,0.005896566,-0.001300334,0.505394955,0.316746061,,,,-0.01,-0.02,1.01,-0.34,-1.33,-0.32,0.08,0.92,-18.68,4.71
21.653,0.00953885,0.004955831,0.00088986,0.662585564,0.290400688,0.007978236,0.005412486,-0.001608531,0.501668323,0.290216878,,,,-0.01,-0.03,1,-0.34,-1.89,-0.32,0.06,0.93,-18.68,3.84
21.669,0.009234997,0.004505718,0.000369516,0.645030751,0.272150634,0.007735288,0.004961599,-0.001743318,0.490607272,0.265284621,,,,-0.01,-0.03,1.01,-0.34,-1.67,-0.32,0.07,0.93,-18.45,4.55
21.685,0.008933201,0.004131538,2.22E-05,0.624153697,0.2567009,0.00739121,0.004565112,-0.00169846,0.472127584,0.243131921,,,,0,-0.03,1,-0.11,-1.68,-0.32,0.07,0.92,-18.45,4.38
21.701,0.008633131,0.003850364,-0.000136285,0.600106301,0.244716332,0.006955608,0.004236658,-0.001478317,0.44666771,0.22453732,,,,-0.01,-0.04,1.01,-0.45,-1.99,-0.32,0.07,0.94,-18.92,4.06
21.717,0.008333987,0.003670671,-0.000105602,0.573171101,0.236472214,0.006444232,0.003981699,-0.001097448,0.415141407,0.209855771,,,,-0.01,-0.04,1,-0.45,-2.13,-0.31,0.06,0.92,-18.33,3.77
21.733,0.008034086,0.003591842,0.000100106,0.543718641,0.231861197,0.005877202,0.003797839,-0.000579421,0.378839176,0.199042576,,,,-0.01,-0.04,1.01,-0.67,-2.21,-0.33,0.06,0.94,-19.04,3.93
21.749,0.007730459,0.003604574,0.000454764,0.512163108,0.230440766,0.005276815,0.003676087,4.49E-05,0.339294638,0.191721069,,,,-0.02,-0.03,1.03,-0.9,-1.52,-0.34,0.07,0.95,-19.63,4.46
21.765,0.007418643,0.003692245,0.000923644,0.478929135,0.231517728,0.004665319,0.003602987,0.000739592,0.298138421,0.1872879,,,,-0.01,-0.03,1.01,-0.56,-1.77,-0.32,0.07,0.92,-18.8,4.47
21.782,0.007092883,0.003833043,0.001466933,0.444439321,0.234258093,0.004063075,0.003563338,0.001465242,0.256963033,0.185041671,,,,-0.01,-0.03,1.01,-0.45,-1.44,-0.33,0.07,0.94,-19.16,4.16
21.798,0.006746802,0.004002555,0.002043082,0.409124708,0.237805086,0.003487401,0.003543109,0.002181295,0.217216309,0.184315442,,,,-0.01,-0.03,1.01,-0.45,-1.89,-0.32,0.07,0.93,-18.56,4.1
21.813,0.006374481,0.004176442,0.002611655,0.373452302,0.241387972,0.00295217,0.003532035,0.002847643,0.180130964,0.184593898,,,,-0.01,-0.04,1.01,-0.34,-2.11,-0.32,0.07,0.92,-18.8,4.11
21.83,0.005971784,0.004332907,0.003135574,0.337958508,0.244408473,0.002468043,0.003525451,0.003426468,0.146689441,0.185599238,,,,-0.01,-0.03,1.02,-0.67,-1.42,-0.33,0.08,0.95,-19.51,4.71
21.846,0.005537671,0.00445472,0.003582709,0.30327656,0.246496139,0.002043125,0.003525001,0.003884039,0.117619762,0.187332843,,,,-0.01,-0.03,1.02,-0.78,-1.87,-0.33,0.07,0.95,-19.27,4.25
21.862,0.005075266,0.004530588,0.003926823,0.270148216,0.247526769,0.001683822,0.003538012,0.004192418,0.093417346,0.190062704,,,,-0.01,-0.02,1.01,-0.34,-1.22,-0.32,0.08,0.92,-18.8,5.07
21.878,0.004592437,0.004555713,0.004147932,0.239412538,0.247600408,0.001395655,0.003575575,0.004330918,0.074385319,0.194252357,,,,0,-0.03,1.01,-0.22,-1.66,-0.32,0.06,0.94,-18.8,3.8
21.894,0.004101684,0.004531408,0.004232248,0.211966651,0.2469804,0.001183797,0.003649615,0.004287238,0.060680594,0.200437465,,,,-0.01,-0.03,1.01,-0.67,-1.88,-0.32,0.07,0.94,-18.8,4.53
21.91,0.003619239,0.004463858,0.004171995,0.188696716,0.246003306,0.00105307,0.003769515,0.004058234,0.05234895,0.209069171,,,,-0.01,-0.04,1.01,-0.67,-2.1,-0.32,0.06,0.94,-18.68,3.82
21.926,0.003163398,0.004362295,0.003965328,0.170383458,0.244978292,0.001007257,0.003938979,0.003650329,0.049333786,0.220354406,,,,-0.01,-0.04,1.01,-0.45,-2.33,-0.32,0.06,0.93,-18.56,3.71
21.942,0.00275231,0.004237009,0.003616551,0.157593966,0.244099197,0.00104775,0.004153839,0.003079538,0.051450598,0.234127956,,,,-0.02,-0.04,1.01,-0.9,-2.21,-0.33,0.05,0.94,-19.04,3.32
21.958,0.002401602,0.004097611,0.00313659,0.150577179,0.243389254,0.001171775,0.004401346,0.002371067,0.058330526,0.249786869,,,,-0.02,-0.02,1.01,-1.12,-1.22,-0.33,0.07,0.93,-19.16,4.55
21.974,0.002122241,0.003951811,0.002543591,0.149182785,0.242688186,0.001370614,0.004661149,0.001558468,0.069348117,0.266304338,,,,-0.01,-0.04,1.01,-0.67,-2.11,-0.32,0.07,0.93,-18.8,4.09
21.99,0.001919013,0.003804787,0.00186328,0.152821153,0.24167931,0.001628293,0.004907781,0.000682302,0.083557345,0.282321252,,,,-0.01,-0.03,1.04,-0.78,-1.62,-0.34,0.08,0.96,-19.99,4.68
22.006,0.001789822,0.003659098,0.001128687,0.160475323,0.239945913,0.001921184,0.005114116,-0.000211809,0.099662469,0.296296108,,,,-0.02,-0.04,1.02,-0.9,-1.97,-0.33,0.08,0.94,-19.39,4.63
22.022,0.001725844,0.003515055,0.000378857,0.170766731,0.237043189,0.002218792,0.005255064,-0.001075771,0.116044769,0.306684214,,,,-0.01,-0.03,1,-0.45,-1.67,-0.32,0.06,0.92,-18.56,3.77
22.038,0.001712483,0.003371418,-0.000343584,0.18206679,0.232571882,0.002485761,0.005310835,-0.001862168,0.130852697,0.312116115,,,,-0.01,-0.03,1,-0.34,-1.46,-0.31,0.08,0.92,-18.33,5
22.054,0.001730934,0.003226258,-0.000995741,0.19263908,0.226240627,0.002684882,0.005269292,-0.002527601,0.142146048,0.311549221,,,,-0.01,-0.03,1.01,-0.45,-1.56,-0.33,0.08,0.93,-19.04,4.82
22.07,0.001760142,0.003077813,-0.001538179,0.200792957,0.217906473,0.0027807,0.005127092,-0.003035743,0.148072354,0.304372608,,,,-0.01,-0.03,1.01,-0.34,-1.78,-0.32,0.07,0.92,-18.68,4.48
22.086,0.001778897,0.002925146,-0.00193852,0.205030024,0.2075887,0.002743266,0.004889575,-0.00335975,0.147050466,0.290452871,,,,-0.01,-0.04,1.01,-0.67,-2.21,-0.33,0.06,0.96,-19.16,3.86
22.102,0.001767815,0.00276856,-0.002174522,0.204169026,0.19545872,0.002551607,0.004569495,-0.003483887,0.137939038,0.270119934,,,,-0.01,-0.03,1.01,-0.45,-1.77,-0.31,0.08,0.92,-18.33,4.75
22.118,0.001711027,0.002609765,-0.002236299,0.197439762,0.181814855,0.002196524,0.004184921,-0.003404409,0.120170494,0.244103093,,,,-0.01,-0.04,0.99,-0.45,-2.26,-0.31,0.06,0.92,-18.21,3.65
22.135,0.001597452,0.002451882,-0.002127406,0.184540204,0.167052111,0.001682289,0.003756705,-0.003129761,0.093832934,0.213434826,,,,-0.01,-0.03,1,-0.34,-1.45,-0.32,0.07,0.93,-18.8,4.56
22.15,0.001421556,0.002299344,-0.00186456,0.165653179,0.151633903,0.00102693,0.003305932,-0.002680055,0.059686728,0.179341603,,,,-0.01,-0.04,1,-0.34,-2.12,-0.32,0.06,0.93,-18.8,3.84
22.167,0.001183591,0.002157718,-0.001475961,0.141420988,0.136068189,0.000260966,0.002851736,-0.00208586,0.019111585,0.143138862,,,,-0.01,-0.03,1.03,-0.67,-1.85,-0.33,0.06,0.95,-19.27,3.77
22.182,0.0008893,0.002033452,-0.000998463,0.112879614,0.120887385,-0.000575273,0.002409756,-0.00138639,-0.026009442,0.106143002,,,,-0.01,-0.03,1.01,-0.34,-1.78,-0.32,0.07,0.93,-18.45,4.09
22.198,0.000549146,0.001933495,-0.000474093,0.08135821,0.106630448,-0.001435388,0.001991362,-0.000627284,-0.07345511,0.069606869,,,,-0.01,-0.04,1.01,-0.45,-2.11,-0.32,0.07,0.92,-18.68,4.24
22.214,0.000177144,0.001864776,5.35E-05,0.048353309,0.093825587,-0.002271304,0.001603572,0.000141905,-0.120863344,0.034677122,,,,-0.01,-0.03,1.01,-0.56,-1.88,-0.32,0.07,0.93,-18.8,4.55
22.23,-0.000210603,0.001833539,0.000542515,0.015390391,0.082972336,-0.00303783,0.001249461,0.000870439,-0.16594169,0.002364686,,,,-0.01,-0.04,1.01,-0.78,-2.1,-0.34,0.06,0.95,-19.75,3.65
22.247,-0.000597505,0.001844597,0.000955427,-0.016112054,0.074521564,-0.003696897,0.000928786,0.001509302,-0.206668058,-0.026483182,,,,-0.02,-0.03,1.02,-1.12,-1.64,-0.34,0.08,0.94,-19.75,4.74
22.263,-0.000968055,0.001900578,0.001261522,-0.044959942,0.068851439,-0.004220956,0.000638606,0.002014148,-0.24145708,-0.051217736,,,,-0.01,-0.03,1,-0.56,-1.68,-0.32,0.07,0.92,-18.56,4.12
22.279,-0.001309209,0.002001229,0.001438309,-0.0702694,0.066237557,-0.004595141,0.000373763,0.002348097,-0.269272616,-0.071432098,,,,-0.01,-0.04,1.01,-0.67,-2.1,-0.33,0.06,0.94,-19.39,3.8
22.295,-0.001611461,0.002142911,0.001472609,-0.091514753,0.066817926,-0.00481805,0.000127228,0.002484258,-0.289679169,-0.087006168,,,,-0.01,-0.04,1.01,-0.56,-1.99,-0.32,0.06,0.93,-18.45,3.47
22.311,-0.001869567,0.002318396,0.001361109,-0.108540468,0.070558064,-0.004901235,-0.00010956,0.002407833,-0.302837324,-0.098138207,,,,-0.01,-0.04,1.01,-0.34,-2.56,-0.32,0.05,0.95,-18.92,3.07
22.327,-0.002082921,0.002517083,0.001110439,-0.121544037,0.077225116,-0.004867652,-0.000346121,0.002117599,-0.309454132,-0.105345603,,,,-0.02,-0.03,1.03,-1.01,-1.84,-0.34,0.07,0.95,-19.99,4.24
22.343,-0.002255575,0.002725676,0.000736695,-0.131037773,0.08637915,-0.004749336,-0.000592001,0.001626484,-0.310698439,-0.109423643,,,,-0.01,-0.03,1,-0.45,-1.67,-0.32,0.07,0.92,-18.56,4.13
22.359,-0.002395893,0.002929196,0.000264344,-0.13779572,0.097384642,-0.004584517,-0.000855534,0.000961048,-0.308088439,-0.111364197,,,,-0.01,-0.03,1.01,-0.78,-1.88,-0.33,0.06,0.95,-19.39,3.78
22.375,-0.002515848,0.003112139,-0.000275434,-0.142789958,0.109439447,-0.004414371,-0.001142509,0.000159811,-0.303359199,-0.112248623,,,,-0.01,-0.03,1.01,-0.45,-1.78,-0.32,0.08,0.93,-18.68,4.67
22.391,-0.002630028,0.003259578,-0.000846825,-0.147119781,0.121616343,-0.004279658,-0.001455063,-0.000729413,-0.298321537,-0.113134432,,,,-0.02,-0.04,1.01,-1.12,-2.33,-0.33,0.05,0.94,-19.16,3.32
22.407,-0.002754446,0.003358126,-0.001411659,-0.151937285,0.132914078,-0.004217532,-0.001790982,-0.001652903,-0.294726696,-0.114953074,,,,-0.01,-0.03,1.01,-0.45,-1.66,-0.32,0.07,0.93,-18.92,4.33
22.423,-0.002905266,0.003396735,-0.001931671,-0.158373607,0.142317056,-0.00425881,-0.002143555,-0.002554789,-0.294151377,-0.118430318,,,,0,-0.04,0.99,-0.22,-2.15,-0.31,0.06,0.91,-18.09,3.68
22.439,-0.003097582,0.003367384,-0.00237058,-0.167471201,0.148862821,-0.004425969,-0.002501943,-0.003380784,-0.297914592,-0.124035127,,,,-0.01,-0.03,1.01,-0.45,-1.88,-0.33,0.07,0.94,-19.04,4.38
22.455,-0.003344383,0.003265661,-0.002695855,-0.180127409,0.151714044,-0.004732007,-0.002852044,-0.004081547,-0.307031214,-0.131958989,,,,-0.02,-0.03,1.02,-1.01,-1.54,-0.33,0.06,0.94,-19.51,3.93
22.471,-0.003655768,0.003091192,-0.002880191,-0.197051271,0.150228906,-0.005180172,-0.003177745,-0.004615516,-0.322197254,-0.142124245,,,,-0.01,-0.03,1,-0.56,-1.79,-0.32,0.06,0.92,-18.92,3.64
22.487,-0.004038372,0.002847846,-0.002902847,-0.218730192,0.144022485,-0.005764374,-0.003462416,-0.00495121,-0.343792513,-0.154215681,,,,-0.02,-0.04,1.02,-1.23,-2.19,-0.34,0.06,0.95,-20.11,3.66
22.503,-0.004494907,0.002543654,-0.002750992,-0.24540015,0.133013016,-0.006470066,-0.003690456,-0.005069076,-0.371883445,-0.167725516,,,,-0.01,-0.03,1.01,-0.56,-1.78,-0.32,0.06,0.92,-18.56,3.99
22.519,-0.005023772,0.002190434,-0.002421166,-0.277015258,0.117449518,-0.007275369,-0.00384867,-0.004962919,-0.40621519,-0.182000803,,,,-0.01,-0.03,1,-0.56,-1.89,-0.32,0.06,0.92,-18.56,3.52
22.535,-0.005618771,0.001803145,-0.001920747,-0.313218297,0.097918972,-0.008152347,-0.003927315,-0.004640843,-0.446192893,-0.196284976,,,,-0.01,-0.04,1.01,-0.56,-2,-0.33,0.05,0.94,-19.27,3.34
22.551,-0.006269036,0.001399045,-0.001269209,-0.353319456,0.075331145,-0.009068383,-0.003920717,-0.004125586,-0.490861271,-0.209750852,,,,-0.02,-0.04,1.03,-1.34,-1.96,-0.35,0.07,0.96,-20.22,4.43
22.567,-0.006959295,0.000996701,-0.000498816,-0.396293113,0.050878464,-0.009987619,-0.003827476,-0.003454131,-0.538894322,-0.22152912,,,,-0.01,-0.03,0.99,-0.34,-1.69,-0.32,0.06,0.91,-18.56,3.8
22.583,-0.007670558,0.00061493,0.000345653,-0.440802479,0.025968138,-0.01087248,-0.003650403,-0.002676423,-0.588607817,-0.230742579,,,,-0.01,-0.04,0.99,-0.45,-2.04,-0.32,0.07,0.92,-18.56,4.37
22.599,-0.008381268,0.000271699,0.001208615,-0.485260973,0.002124847,-0.011685377,-0.003396361,-0.001852893,-0.638010158,-0.236558585,,,,-0.01,-0.02,1,-0.34,-1.12,-0.32,0.07,0.91,-18.45,4.41
22.616,-0.009068897,-1.71E-05,0.002027193,-0.52793613,-0.019134322,-0.012390806,-0.003076213,-0.001050464,-0.68490846,-0.238267222,,,,-0.02,-0.04,1,-0.9,-2.46,-0.32,0.06,0.92,-18.68,3.52
22.632,-0.0097119,-0.000238687,0.002736573,-0.567093793,-0.036444265,-0.012957947,-0.002704887,-0.000336918,-0.727078205,-0.235381159,,,,-0.02,-0.04,1.03,-1.34,-2.07,-0.35,0.06,0.96,-20.46,3.62
22.648,-0.010291815,-0.000384965,0.003276713,-0.601168487,-0.048738295,-0.013363673,-0.002301415,0.000225934,-0.762486036,-0.227739369,,,,-0.02,-0.04,1.02,-1.23,-2.41,-0.33,0.05,0.94,-19.16,3.09
22.664,-0.010795213,-0.000453044,0.003599478,-0.628936053,-0.05537235,-0.013595562,-0.001888646,0.000589345,-0.789536031,-0.215587681,,,,-0.01,-0.04,1.01,-0.78,-2.45,-0.32,0.06,0.93,-18.68,3.61
22.68,-0.011215269,-0.000445821,0.003675077,-0.649662181,-0.056202035,-0.013654378,-0.001492351,0.000723805,-0.807299701,-0.19960982,,,,-0.02,-0.04,1.02,-1.01,-2.4,-0.34,0.06,0.95,-19.87,3.55
22.696,-0.011552703,-0.000371608,0.003496748,-0.66320459,-0.051594453,-0.013555499,-0.001139569,0.000623184,-0.815689257,-0.180893186,,,,-0.02,-0.04,1.03,-1.34,-2.17,-0.35,0.07,0.96,-20.46,4.07
22.712,-0.011815965,-0.000243054,0.003082884,-0.670053025,-0.04236905,-0.013328802,-0.000856319,0.000306012,-0.815537164,-0.160829281,,,,-0.03,-0.04,1.04,-1.57,-2.26,-0.35,0.06,0.96,-20.7,3.59
22.728,-0.012020505,-7.54E-05,0.002476126,-0.671297453,-0.029675973,-0.013016679,-0.000664966,-0.000186517,-0.808553541,-0.140962964,,,,-0.02,-0.03,1.01,-1.01,-1.66,-0.33,0.07,0.93,-19.27,4.2
22.744,-0.012187112,0.000115405,0.001739368,-0.668522946,-0.014832943,-0.012670142,-0.000581674,-0.000795679,-0.797152607,-0.122814134,,,,-0.01,-0.03,1,-0.78,-1.79,-0.32,0.07,0.92,-18.8,4.14
22.76,-0.012339412,0.0003151,0.000949204,-0.663640743,0.00085067,-0.012343447,-0.000614345,-0.001452684,-0.784168854,-0.107699214,,,,-0.02,-0.03,1,-0.9,-1.56,-0.32,0.07,0.92,-18.68,4.37
22.776,-0.012500837,0.000512397,0.000187825,-0.658675963,0.01623315,-0.01208803,-0.00076141,-0.002087181,-0.7725102,-0.096578505,,,,-0.02,-0.04,1.01,-1.12,-2.1,-0.33,0.06,0.93,-19.16,3.6
22.792,-0.012691464,0.000700135,-0.000465462,-0.655539005,0.030459855,-0.011946724,-0.001011649,-0.002635404,-0.764806237,-0.089949459,,,,-0.01,-0.03,1,-0.45,-1.91,-0.32,0.07,0.92,-18.8,4.26
22.808,-0.012925122,0.000875457,-0.000942032,-0.655808718,0.043029504,-0.011949042,-0.001345101,-0.003046849,-0.763103168,-0.087797412,,,,-0.02,-0.04,1,-0.9,-2.01,-0.32,0.06,0.93,-18.92,3.74
22.824,-0.013207148,0.001039299,-0.001190285,-0.660552779,0.053803697,-0.012108095,-0.001734934,-0.003288794,-0.768640786,-0.089607438,,,,-0.02,-0.03,1.02,-1.01,-1.43,-0.34,0.07,0.94,-19.63,4.39
22.84,-0.013533062,0.001195314,-0.001180101,-0.670205734,0.062962944,-0.012419369,-0.002150087,-0.003348433,-0.781729086,-0.094435401,,,,-0.01,-0.03,1.01,-0.67,-1.77,-0.33,0.07,0.93,-19.51,4.57
22.856,-0.013888394,0.001348416,-0.000905209,-0.684518652,0.070918079,-0.01286137,-0.002558388,-0.003232727,-0.801727718,-0.101031196,,,,-0.01,-0.04,1,-0.45,-2.23,-0.32,0.05,0.93,-18.8,3.38
22.872,-0.014249741,0.001503189,-0.000383469,-0.702587229,0.078192382,-0.01339796,-0.002929786,-0.00296627,-0.827122869,-0.1080001,,,,-0.02,-0.04,1.01,-0.9,-2.22,-0.33,0.06,0.93,-19.04,3.84
22.888,-0.014587033,0.001662489,0.000344906,-0.722956949,0.085296093,-0.013982152,-0.003239245,-0.002587555,-0.855692121,-0.113979781,,,,-0.02,-0.04,1,-0.9,-2.12,-0.32,0.05,0.93,-18.8,3.25
22.904,-0.014866746,0.001826502,0.001221018,-0.743793961,0.092617262,-0.014561001,-0.003468904,-0.002144118,-0.884743439,-0.117805751,,,,-0.02,-0.04,1.01,-1.01,-2.33,-0.34,0.07,0.94,-19.63,4.17
22.92,-0.015055658,0.001992495,0.00217259,-0.763099965,0.100348365,-0.015081153,-0.003609229,-0.001687093,-0.911405946,-0.118641062,,,,-0.03,-0.03,1.02,-1.45,-1.86,-0.34,0.06,0.95,-19.99,3.78
22.936,-0.015124626,0.002155257,0.003120426,-0.778942051,0.108458141,-0.015494402,-0.003659095,-0.001265796,-0.932939869,-0.116055405,,,,-0.02,-0.03,1.01,-1.01,-1.67,-0.33,0.06,0.92,-19.27,3.89
22.952,-0.015051875,0.002308061,0.003985383,-0.789666767,0.11670675,-0.015762612,-0.003624933,-0.000922918,-0.947027471,-0.110049241,,,,-0.02,-0.03,1.02,-1.34,-1.76,-0.34,0.06,0.95,-19.75,3.76
22.968,-0.014825454,0.002443878,0.004695151,-0.794071889,0.12469379,-0.015861417,-0.003519148,-0.000690758,-0.952009831,-0.101026351,,,,-0.02,-0.04,1.03,-1.34,-2.07,-0.34,0.06,0.94,-19.99,3.92
22.984,-0.014444637,0.002556532,0.005190206,-0.791517949,0.131925084,-0.015782318,-0.003358071,-0.000588758,-0.947044402,-0.089723402,,,,-0.02,-0.03,1.01,-1.01,-1.88,-0.33,0.06,0.93,-19.16,3.73
23.001,-0.013920245,0.002641594,0.005428427,-0.781972528,0.137884472,-0.015533038,-0.003159754,-0.000622398,-0.932171518,-0.077109647,,,,-0.02,-0.02,1.01,-0.9,-1.33,-0.33,0.08,0.93,-19.16,4.66
23.017,-0.013273936,0.002696834,0.005388137,-0.765991353,0.14209848,-0.015136218,-0.002941964,-0.000783387,-0.908291215,-0.064273643,,,,-0.01,-0.03,1.01,-0.34,-1.45,-0.33,0.07,0.93,-19.39,4.56
23.033,-0.012536628,0.002722161,0.005069476,-0.74464867,0.144184416,-0.014626751,-0.002720678,-0.001050939,-0.877061992,-0.052314415,,,,-0.02,-0.04,1.02,-1.12,-1.98,-0.33,0.06,0.94,-19.16,3.8
