Time,filt_S1_X,filt_S1_Y,filt_S1_Z,filt_S1_p,filt_S1_r,filt_S2_X,filt_S2_Y,filt_S2_Z,filt_S2_p,filt_S2_r
16.421,-0.137150472565244,-0.026784592947836,1.00105952201244,-7.92928280754425,-1.43359578256532,-0.434717638927922,0.0599640973272006,0.890046344632314,-25.6625419790348,3.87636146362508
16.437,-0.137135175405322,-0.026577476316606,1.00128243926791,-7.93266588766079,-1.42313128884535,-0.434588259911968,0.0598239449886757,0.889793599436594,-25.6603274583195,3.87188164297687
16.453,-0.137086716631796,-0.026315089132321,1.00149185565097,-7.93417720744537,-1.41361570446975,-0.43442000756642,0.0596907927469035,0.889548166023216,-25.65693555714,3.86901156696793
16.469,-0.137004774142039,-0.0260092864186013,1.00168275684779,-7.93387161784132,-1.40548387190872,-0.434208159873454,0.059570294459209,0.889325755237784,-25.651946200577,3.8679025645244
16.485,-0.136892570252542,-0.0256743788367891,1.00185051851165,-7.93193395835869,-1.39907912337326,-0.433953773595317,0.0594663384322885,0.889140829073184,-25.6452280657175,3.8685547331003
16.501,-0.136756435211883,-0.0253262310458124,1.00199120786807,-7.92866307353025,-1.39463348953881,-0.433664319448369,0.0593810210685262,0.889006127988453,-25.6370058124685,3.87082081622944
16.517,-0.136604965041983,-0.0249812728905224,1.00210181949685,-7.92444161832099,-1.39225561316602,-0.433353330513005,0.059314847770248,0.888931871743968,-25.6278662123136,3.87442682179695
16.533,-0.136447895993696,-0.0246555380591561,1.00218035345561,-7.9196939801226,-1.39192843369525,-0.433039070767517,0.059267047770021,0.888924632228097,-25.6186968585614,3.87900593830666
16.549,-0.136294917136454,-0.0243637783047234,1.00222580333813,-7.91483961529195,-1.39351356472863,-0.432742480490699,0.0592359636204111,0.88898617056198,-25.6105708825284,3.8841446960354
16.565,-0.136154682663998,-0.0241186221308299,1.0022381811722,-7.91025123315015,-1.39675607673291,-0.432484797200647,0.0592195712305568,0.88911262951809,-25.6046039842239,3.88944217289605
16.581,-0.136034241924347,-0.0239297307400604,1.00221862556694,-7.90622542435904,-1.40128644026648,-0.432285223685556,0.0592161612139095,0.889294347328342,-25.6018106672414,3.89457852079669
16.598,-0.135938989801038,-0.0238029982790949,1.00216950385422,-7.90296933285484,-1.40662503098059,-0.432158873783226,0.0592250497777226,0.889516333128894,-25.602977825108,3.89937839467718
16.613,-0.135873084898491,-0.0237399863084639,1.00209437033214,-7.90060290609047,-1.41220179658777,-0.432115115732751,0.0592470428874305,0.88975929097373,-25.6085648948456,3.90384708041288
16.63,-0.135840135653891,-0.0237378287936069,1.00199773819563,-7.89917324969378,-1.41740157236681,-0.432156444285245,0.0592844226082547,0.890001075559207,-25.6186374519876,3.90816240374842
16.645,-0.135843862237557,-0.0237897124546358,1.0018847514327,-7.89867588231394,-1.42163345855627,-0.432278078725399,0.0593404562424364,0.890218513577189,-25.632842976053,3.91262328227847
16.662,-0.135888435699737,-0.0238858189176229,1.00176086163659,-7.89907680292193,-1.42440901607571,-0.432468448724356,0.0594186600260015,0.890389487516422,-25.6504356461867,3.9175733485767
16.678,-0.135978287380349,-0.0240144925921829,1.00163152941236,-7.90032905759192,-1.42540902499204,-0.432710526937321,0.0595220925598067,0.890495050385066,-25.6703478117684,3.92332293360264
16.694,-0.136117355377665,-0.0241634487044585,1.00150190858103,-7.90237878915453,-1.42452483272559,-0.432983713785547,0.0596528055668171,0.890521262967831,-25.6912945366641,3.93008461640258
16.71,-0.13630793809319,-0.0243209483221064,1.00137652205589,-7.90515954852023,-1.42187088348064,-0.433265876291945,0.059811412392006,0.890460529338734,-25.7118932006899,3.93792686087161
16.726,-0.136549476917672,-0.0244768803083865,1.001259055723,-7.90857879181785,-1.41777069404623,-0.433535252139932,0.0599967053244969,0.890312375773998,-25.7307847411505,3.94674611210273
16.742,-0.136837612462026,-0.0246235905550651,1.00115244092764,-7.91250334040259,-1.41271733734527,-0.433772104546236,0.0602053529942434,0.890083687900878,-25.7467493152794,3.95626005120616
16.758,-0.137163732465669,-0.0247562394570831,1.00105926609343,-7.9167484706898,-1.40730790453841,-0.433960081127069,0.0604318015434211,0.889788323882405,-25.7588090092658,3.96602660695189
16.774,-0.137515041469837,-0.0248725868239408,1.0009823131805,-7.92107049557399,-1.40215640224523,-0.434087192448457,0.0606684691488212,0.889445914200458,-25.7663051037543,3.97548876990926
16.79,-0.13787507234963,-0.0249723532273664,1.0009248755125,-7.92516111881742,-1.39779990955836,-0.434146331237965,0.0609061820268469,0.889079782807882,-25.7689370987634,3.9840356468914
16.806,-0.138224578255643,-0.0250564861345583,1.00089066336423,-7.92864599625417,-1.39461929547465,-0.434135388127712,0.0611347064496633,0.888714314326351,-25.7667614041552,3.99106446225664
16.822,-0.138542791815956,-0.0251266123419808,1.00088342449297,-7.93109464357366,-1.39279105444931,-0.434057162718087,0.0613432996152507,0.888372426848015,-25.7601615039937,3.99603302697428
16.838,-0.138809002607161,-0.0251847458579585,1.0009065571135,-7.93204737013863,-1.39227463804015,-0.433919227486946,0.0615213376274885,0.888073731190068,-25.7498043122429,3.99850239506365
16.854,-0.139004301962653,-0.0252331504008414,1.00096284037883,-7.93105782887094,-1.39283063035944,-0.433733684933574,0.0616590904393211,0.887833530889743,-25.7365874617328,3.99817367082483
16.871,-0.139113275758248,-0.0252742531690015,1.0010541831878,-7.92774339714227,-1.39406415163931,-0.43351657849693,0.0617485697591825,0.88766244997993,-25.7215721738569,3.99491767322409
