run_index,hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az,wrist_ax,wrist_ay,wrist_az,wrist_heading,wrist_pitch,wrist_roll
1,LeftGlove,78491,2157,-1,-1,0,0,0,0,0,0,2125,1810,0.01,0,0,0.0,0.0,0.0,1053,2079,0.02,0,0,0.0,-0.01,0.0,0,2042,-0.01,0.0,0,-0.01,-0.01,0.0,2152,2280,-0.03,0,0,0.0,0.0,-0.01,1835,2032,-0.01,0,0,0.01,-0.01,0.0,-0.53,3.47,9.07,0,-3.31,-20.63
1,LeftGlove,78556,2220,-1,-1,0,0,0,0,0,0,2122,1807,0.01,0,0,0.0,0.0,0.0,1056,2083,0.02,0,0,0.01,0.0,0.0,0,2044,-0.01,0.0,0,0.0,0.0,0.0,2150,2280,-0.03,0,0,0.0,0.0,0.01,1845,2027,-0.01,0,0,0.0,0.0,0.02,-0.52,3.44,9.18,0,-3.31,-20.63
1,LeftGlove,78619,2283,-1,-1,0,0,0,0,0,0,2121,1810,0.01,0,0,0.0,0.0,0.0,1055,2077,0.02,0,0,0.0,0.0,-0.01,0,2042,-0.01,0.01,0,0.0,0.0,0.0,2151,2281,-0.03,0,0,0.0,0.0,0.0,1845,2038,-0.01,0,0,-0.01,-0.01,0.01,-0.53,3.45,9.07,0,-3.31,-20.63
1,LeftGlove,78682,2349,-1,-1,0,0,0,0,0,0,2123,1812,0.01,0,0,0.0,0.0,-0.01,1053,2078,0.02,0,0,0.0,0.0,0.0,0,2041,-0.01,0.01,0,0.0,0.0,0.0,2149,2281,-0.03,0,0,0.0,0.0,-0.01,1839,2037,-0.01,0,0,0.0,0.0,0.0,-0.54,3.47,9.09,0,-3.31,-20.63
1,LeftGlove,78748,2413,-1,-1,0,0,0,0,0,0,2124,1811,0.01,0,0,0.0,0.0,0.0,1053,2085,0.02,0,0,0.0,0.0,-0.01,0,2043,-0.01,0.01,0,0.0,0.0,-0.01,2153,2279,-0.03,0,0,0.0,0.0,-0.01,1839,2037,-0.01,0,0,0.0,0.01,0.0,-0.56,3.43,9.09,0,-3.31,-20.63
1,LeftGlove,78812,2479,-1,-1,0,0,0,0,0,0,2122,1811,0.01,0,0,0.0,0.0,-0.01,1055,2079,0.02,0,0,0.0,0.0,0.0,0,2043,-0.01,0.01,0,0.0,0.0,0.0,2153,2281,-0.03,0,0,0.0,0.0,0.0,1839,2037,-0.01,0,0,0.0,0.01,-0.01,-0.55,3.42,9.11,0,-3.31,-20.63
1,LeftGlove,78878,2545,-1,-1,0,0,0,0,0,0,2122,1809,0.01,0,0,0.0,0.0,-0.01,1055,2079,0.02,0,0,0.0,0.0,0.0,0,2041,-0.01,0.01,0,0.0,0.0,0.0,2151,2285,-0.03,0,0,0.0,0.0,-0.01,1839,2037,-0.01,0,0,0.0,0.0,0.0,-0.56,3.47,9.07,0,-3.31,-20.63
1,LeftGlove,78944,2609,-1,-1,0,0,0,0,0,0,2123,1806,0.01,0,0,-0.01,0.0,0.0,1052,2083,0.02,0,0,0.0,0.0,0.0,0,2045,-0.01,0.01,0,0.0,0.0,0.01,2151,2283,-0.03,0,0,0.0,0.0,0.0,1839,2041,-0.01,0,0,0.0,0.0,0.01,-0.57,3.45,9.11,0,-3.31,-20.63
1,LeftGlove,79008,2671,-1,-1,0,0,0,0,0,0,2122,1805,0.01,0,0,0.0,0.0,0.0,1052,2079,0.02,0,0,0.0,0.0,0.0,0,2041,-0.01,0.01,0,0.0,0.0,0.0,2149,2277,-0.03,0,0,0.0,0.0,0.0,1845,2043,-0.01,0,0,0.0,0.01,0.01,-0.53,3.45,9.16,0,-3.31,-20.63
1,LeftGlove,79070,2738,-1,-1,0,0,0,0,0,0,2125,1811,0.01,0,0,-0.01,0.0,-0.01,1055,2083,0.02,0,0,0.0,0.0,-0.01,0,2040,-0.01,0.01,0,0.0,0.0,-0.01,2150,2280,-0.03,0,0,0.0,0.0,0.0,1847,2035,-0.01,0,0,0.0,0.0,0.01,-0.57,3.47,9.15,0,-3.31,-20.63
1,LeftGlove,79137,2802,-1,-1,0,0,0,0,0,0,2123,1807,0.01,0,0,0.0,0.0,-0.01,1061,2078,0.02,0,0,0.01,0.0,0.0,0,2042,-0.01,0.01,0,0.0,0.0,0.0,2151,2282,-0.03,0,0,-0.01,0.0,0.0,1846,2035,-0.01,0,0,-0.01,0.0,0.0,-0.52,3.41,9.04,0,-3.31,-20.63
1,LeftGlove,79201,2864,-1,-1,0,0,0,0,0,0,2123,1807,0.01,0,0,0.0,0.0,-0.01,1059,2083,0.02,0,0,0.0,0.0,0.0,0,2041,-0.01,0.01,0,-0.01,0.0,0.0,2152,2281,-0.03,0,0,-0.01,0.0,0.0,1847,2027,-0.01,0,0,0.0,0.0,-0.01,-0.57,3.41,9.12,0,-3.31,-20.63
1,LeftGlove,79263,2929,-1,-1,0,0,0,0,0,0,2123,1811,0.01,0,0,0.0,0.0,-0.01,1059,2079,0.02,0,0,0.0,-0.01,0.0,0,2041,-0.01,0.01,0,0.0,0.0,0.0,2149,2283,-0.03,0,0,0.0,0.0,0.0,1848,2031,-0.01,0,0,0.0,-0.01,0.0,-0.56,3.48,9.1,0,-3.31,-20.63
1,LeftGlove,79328,2991,-1,-1,0,0,0,0,0,0,2123,1809,0.01,0,0,0.0,0.0,-0.01,1053,2077,0.02,0,0,0.0,0.0,-0.01,0,2041,-0.01,0.01,0,0.01,-0.01,0.0,2151,2281,-0.03,0,0,0.0,-0.01,-0.01,1845,2037,-0.01,0,0,0.0,-0.01,0.01,-0.56,3.47,9.07,0,-3.31,-20.63
1,LeftGlove,79390,3057,-1,-1,0,0,0,0,0,0,2123,1812,0.01,0,0,0.0,0.0,-0.01,1055,2079,0.02,0,0,0.0,0.0,-0.01,0,2043,-0.01,0.01,0,0.0,0.0,0.0,2149,2281,-0.03,0,0,0.0,0.0,0.0,1843,2029,-0.01,0,0,0.0,0.0,0.0,-0.56,3.4,9.1,0,-3.31,-20.63
1,LeftGlove,79456,3119,-1,-1,0,0,0,0,0,0,2123,1805,0.01,0,0,0.0,0.01,0.0,1059,2079,0.02,0,0,0.0,0.0,0.0,0,2043,-0.01,0.01,0,0.0,0.0,0.0,2151,2281,-0.03,0,0,0.0,0.0,-0.01,1847,2027,-0.01,0,0,0.0,0.0,0.0,-0.53,3.42,9.13,0,-3.31,-20.63
1,LeftGlove,79518,3180,-1,-1,0,0,0,0,0,0,2121,1807,0.01,0,0,0.0,0.0,-0.02,1050,2079,0.02,0,0,0.0,0.0,0.01,0,2042,-0.01,0.01,0,0.0,0.0,0.0,2151,2283,-0.03,0,0,0.0,0.0,-0.01,1845,2037,-0.01,0,0,0.0,0.0,-0.01,-0.56,3.47,9.07,0,-3.31,-20.63
1,LeftGlove,79579,3247,-1,-1,0,0,0,0,0,0,2123,1809,0.01,0,0,0.0,0.0,-0.02,1051,2079,0.02,0,0,0.0,-0.01,0.0,0,2041,-0.01,0.01,0,0.0,0.0,0.0,2151,2280,-0.03,0,0,0.0,0.0,0.0,1845,2031,-0.01,0,0,0.01,0.0,-0.01,-0.57,3.45,9.07,0,-3.31,-20.63
